Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Gods Super Collider,2018,N/A,N/A,70 min,Documentary,Simon Oliver,N/A,"John Bachus, Corbin Given","Do you believe in God? Even if you're an atheist, the eternal questions remain. Where did everything come from? Are we alone in the universe? Today, new insights into the meaning of life ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTMyOTk4NjktZWY4NS00MDIxLTg1YWUtZTM2NzI0NzUwYTJjXkEyXkFqcGdeQXVyMTc0ODg5NTQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9301962,movie,N/A,N/A,N/A,N/A,True
Super Friends Redux: Galactic Guardians Retrospective Featurette,2007,N/A,23 Oct 2007,N/A,"Animation, Short",N/A,N/A,"Alan Burnett, Dan DiDio, Rich Fogel, Paul Levitz",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1189447,movie,N/A,N/A,N/A,N/A,True
Québec Super-8,2011,N/A,02 Jun 2011,75 min,Documentary,"Geneviève Allard, Louis Blackburn, Carnior, Patrick Faucher, François Gamache, Samuel Matteau, François Perreault",N/A,N/A,N/A,French,Canada,N/A,https://m.media-amazon.com/images/M/MV5BN2JjODY0YTEtMjVlNS00ODdlLTg4ODEtMDVjYzNkYTYyZTlmXkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9571124,movie,N/A,N/A,N/A,N/A,True
Chinese New Year Super Saturday,2018,N/A,03 Mar 2018,3 min,"Short, Family",Allan Tsao,N/A,Walson Luu,N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTUyZWIxMjYtNjdhNy00MzUwLWJhNjEtYmZmOWU1ZWZkZTljXkEyXkFqcGdeQXVyMTEwNDIxNjQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9306516,movie,N/A,N/A,N/A,N/A,True
Super Monsters Back to School,2019,N/A,16 Aug 2019,23 min,"Animation, Short",N/A,N/A,Gigi Saul Guerrero,"Lobo's cousin Vida moves to town, Lobo shows her his favorite places around town, and the next day Vida has her first day of school.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTMxYmY0OTAtZDZjZi00ODFhLWE5MDItMDc5Y2M1MjZmYmE0XkEyXkFqcGdeQXVyNTM0MDc1ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,32,tt10687588,movie,16 Aug 2019,N/A,N/A,N/A,True
Super Bowl XLIX Halftime Show Starring Katy Perry,2015,N/A,01 Feb 2015,13 min,Music,Hamish Hamilton,N/A,"Katy Perry, Lenny Kravitz, Missy Elliott, Arizona State University Sun Devil Marching Band","Between lions, dancing sharks, glowing orbs and fireworks exploding, pop star Katy Perry delivers an once in a lifetime performance for the 2015 Super Bowl halftime show.",English,USA,Won 2 Primetime Emmys. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BOGVlMDhlNGQtM2EyZi00ZmE2LTk4ZmYtN2IxMjkwOTU4ZTE1XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,32,tt5026292,movie,N/A,N/A,N/A,N/A,True
Super Natural Gas,1975,N/A,N/A,10 min,"Animation, Short",Nicholas Spargo,Nicholas Spargo (script),"Kenneth Williams, Peter Hawkins, Noel Johnson","Relates the story of the discovery, retrieval, processing and distribution of Natural gas.",English,UK,N/A,N/A,[],N/A,N/A,N/A,tt1344347,movie,N/A,N/A,N/A,N/A,True
Super koufo kolegio,1988,N/A,N/A,N/A,N/A,Michalis Lefakis Jr.,Nikos Epitropakis,"Nikos Tsachiridis, Despina Panagiotaki, Vagelis Dimitriou, Thanassis Panagopoulos",N/A,Greek,Greece,N/A,N/A,[],N/A,N/A,N/A,tt0354941,movie,N/A,N/A,N/A,N/A,True
Super Six,2012,N/A,17 May 2012,120 min,"Comedy, Romance",Udara Palliyaguruge,Anura Ekanayake,"Pubudu Chathuranga, Saranga Disasekara, Mahendra Perera, Aruni Rajapaksha","Super Six is based a group of friends who live in an enclosed apartment, crazy about nothing but cricket, thinking of playing in a six-a-side tournament. They do many things to keep their ...",Sinhalese,Sri Lanka,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,11,tt3162188,movie,N/A,N/A,N/A,N/A,True
Super Chief: The Life and Legacy of Earl Warren,1989,N/A,N/A,88 min,Documentary,Bill Jersey,N/A,"William Brennan, Thurgood Marshall, Earl Warren",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,17,tt0098413,movie,N/A,N/A,N/A,N/A,True
Papy super star,1991,N/A,28 Sep 1991,84 min,N/A,Serge Pénard,Jean-Claude Massoulier,"Jean Lefebvre, Pierre Tornade, Joseph Poli, Gaëtan Jor",N/A,French,France,N/A,N/A,[],N/A,N/A,N/A,tt0291413,movie,N/A,N/A,N/A,N/A,True
Super Bakha,2011,N/A,15 Jun 2011,N/A,Adventure,Tolegen Baitukenov,N/A,N/A,N/A,Russian,Kazakhstan,N/A,https://m.media-amazon.com/images/M/MV5BZmQ3ZDcyNDQtOTRhYy00NjE2LWFhZDYtNzAxZGI0YmE3MmYxXkEyXkFqcGdeQXVyOTQxNjU1NzU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9389052,movie,N/A,N/A,N/A,N/A,True
Super Dude,2008,N/A,N/A,7 min,"Short, Comedy, Fantasy",N/A,N/A,"Melissa LeClaire, Randi LeClaire, Vanessa Moar, Veronica Moar",This is a story of a eccentric chubby 'super hero' who finds acceptance in an unlikely place.,N/A,Canada,N/A,N/A,[],N/A,N/A,N/A,tt1543908,movie,N/A,N/A,N/A,N/A,True
Super Taboo,2017,N/A,01 Jan 2017,19 min,Short,Hui-Yu Su,Hui-Yu Su,Shih-Chieh King,N/A,Mandarin,Taiwan,N/A,N/A,[],N/A,N/A,N/A,tt9155284,movie,N/A,N/A,N/A,N/A,True
Better Homes and Gardens Super Picnic,1987,N/A,N/A,N/A,N/A,"Al Footnick, Ray Reese",Ray Reese,"George Burns, Mary Hart, Rich Little, Mary Wilson",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0306540,movie,N/A,N/A,N/A,N/A,True
Super Bowl,1976,N/A,01 Jan 1976,47 min,"Documentary, Comedy, Sport",N/A,"Brian Doyle-Murray, Christopher Guest, Bill Murray, Harold Ramis","Christopher Guest, Brian Doyle-Murray, Bill Murray, Terry Bradshaw",Football like you've never seen it before! This hilarious and insightful documentary featuring Christopher Guest and Bill Murray takes you behind the scenes of the 1976 Super Bowl X between the Pittsburgh Steelers and the Dallas Cowboys.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTc1ODEwNTA4M15BMl5BanBnXkFtZTgwNTUxMjA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,17,tt1112125,movie,N/A,N/A,N/A,N/A,True
David Sanborn & Friends: The Super Session,1998,N/A,N/A,48 min,N/A,N/A,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0319260,movie,N/A,N/A,N/A,N/A,True
Super Star,2001,N/A,N/A,N/A,"Action, Musical, Romance",Anish Koirala,N/A,"Bhuwan K.C., Sushmita K.C., Dilip Rayamajhi",N/A,Nepali,Nepal,N/A,https://m.media-amazon.com/images/M/MV5BYWQwMmZlOTEtNjhlOS00NmJkLWEzNzAtM2I5Yzg3OTc3YzZhXkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,17,tt0301907,movie,N/A,N/A,N/A,N/A,True
Super Luigi Thunder the Movie 2: Lightning Strikes Back,2019,N/A,01 Jan 2019,54 min,Comedy,Super Luigi Thunder,Super Luigi Thunder,N/A,Luigi and friends end up in an alternate dimension. .,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTRlNmMyNjUtZmNlYS00MTA0LThiOTgtNGRhYTcyODhiNTVkXkEyXkFqcGdeQXVyOTMyNDA0NzE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10423614,movie,N/A,N/A,N/A,N/A,True
Super Bomberos,2019,N/A,24 Oct 2019,N/A,Comedy,"Francis ""Indio"" Disla Ferreira","Francis ""Indio"" Disla Ferreira, Conrado Ortiz, Yarissa Rodriguez","Valentina Chacín, Chimbala, Aquiles Correa, Andrew Dasz",A ragtag group with no skills is chosen to form an elite firefighting squad.,Spanish,Dominican Republic,N/A,https://m.media-amazon.com/images/M/MV5BYzg3M2RlOTQtZTJjOS00NTE4LWJiZDgtOWU2YzBlZjBlY2FkXkEyXkFqcGdeQXVyODU4MjAxOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,16,tt9661960,movie,N/A,N/A,N/A,N/A,True
Ken: The Super Hero,2018,N/A,23 Nov 2018,95 min,Adventure,Amit Majumdar,N/A,"Sabyasachi Chakrabarty, Tamal Ray Chowdhury, Priya Das",N/A,Bengali,India,N/A,N/A,[],N/A,N/A,N/A,tt9389844,movie,N/A,N/A,N/A,N/A,True
Defending the Super$ave,2001,N/A,01 Jan 2001,N/A,"Short, Comedy, Crime",David Fribush,David Fribush,"Thom Rivera, Tim Nistler, Greg Hopkins, Johanna Specktor",An overzealous security guard meets ultimate evil in the form of a professional shoplifter.,English,USA,1 win.,N/A,[],N/A,N/A,N/A,tt0306718,movie,N/A,N/A,N/A,N/A,True
De super macho a super hembra,1989,N/A,N/A,93 min,Comedy,Alfredo B. Crevenna,Juan Pablo Tercero (screenplay),"Charly Valentino, Guillermo Rivas, Francis, Jacaranda Alfaro",N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt0285002,movie,N/A,N/A,N/A,N/A,True
Super Surgery,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0361033,movie,N/A,N/A,N/A,N/A,True
Moi je super,2009,N/A,24 Mar 2009,27 min,"Short, Biography",N/A,N/A,"Damien Acoca, Juliette Bouchet, Romain Grandadam, Gildas Le Gac","Passing from photographer to actor the author is staging this professional gap. With humour and self-mockery, the hero exposes himself and alternately creates a distance, without concealing...",French,France,N/A,N/A,[],N/A,N/A,N/A,tt1547897,movie,N/A,N/A,N/A,N/A,True
Mimics Super 1000,1996,N/A,N/A,N/A,N/A,Balu Kiriyath,N/A,N/A,N/A,Malayalam,India,N/A,https://m.media-amazon.com/images/M/MV5BNjBhNDQyZDEtMzQ3My00N2U1LTllMWMtNmEzYzAwNTdlYTY5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,16,tt0355773,movie,N/A,N/A,N/A,N/A,True
Super Mouse Rides Again,1943,N/A,06 Aug 1943,7 min,"Animation, Short",Mannie Davis,John Foster (story),Tom Morrison,"Super Mouse visits some hardworking farmer-mice, who are thrilled to meet this super-celebrity. Three cats wait until the hero is gone before they set upon the defenseless creatures.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,17,tt0152673,movie,N/A,N/A,N/A,N/A,True
Super Bowl LIII Champions: New England Patriots,2019,Not Rated,07 Mar 2019,N/A,Sport,"Ameya Banks, Greg Frith, Rob Gill, Brett Olayos","Ameya Banks, Greg Frith, Rob Gill, Brett Olayos",N/A,N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNmMwNTQyMTgtMjVkZi00N2YxLWEyZjMtMjZkNzY3NjY3ZDQxXkEyXkFqcGdeQXVyMTAxOTgwMzQ0._V1_SX300.jpg,[],N/A,N/A,N/A,tt10367048,movie,N/A,N/A,N/A,N/A,True
Super Bitchin' Muscle Car,2004,N/A,08 Feb 2004,10 min,"Comedy, Short",Dan Cronin,Dan Cronin,"Brad Yoder, Emily Gorgen, Bradley Kell, Chris Soldevilla",An allegory about prejudice set in the acrimonious world of muscle car restoration.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTMzMjI1MDE4MF5BMl5BanBnXkFtZTcwMjY1MjcyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,16,tt0406244,movie,N/A,N/A,N/A,N/A,True
Super Snoopers: A Case for Kindness,2008,N/A,15 Nov 2008,N/A,Animation,Perry Harovas,Jon Nappa,Jon Nappa,Detectives Burt and Squirt Snooper and Professor Noodle as well as the Picadilly Kids confront Mr. Poutndoubt who has just launched one of his surprise attacks. In order to try to break the...,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1342955,movie,N/A,N/A,N/A,N/A,True
Surviving a Super Tumor,2009,N/A,18 Oct 2009,N/A,N/A,N/A,Margie Friedman,"Amiltal Cohen, Greg Jun, McKay McKinnon, Craig Niemeyer",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1546024,movie,N/A,N/A,N/A,N/A,True
Super.,2007,N/A,N/A,20 min,"Short, Comedy, Romance",Matthew J. Pagoaga,Matthew J. Pagoaga (original screenplay),"Vernon Dew, Andi Norris","When Craig, a Superman obsessed recluse, meets Laurel, a Hawaiian girl obsessed new tenant, sparks fly; but can Craig overcome his insecurities and reveal his secrets to Laurel?",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1543909,movie,N/A,N/A,N/A,N/A,True
The Making of Super Sloppy Double Dare,1989,N/A,N/A,28 min,"Documentary, Short",Glenn Holsten,N/A,"Dana Calderwood, Andrea Ellman, Diane Feinberg, John Harvey",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjAyYTBkNTEtYTdjNC00NTUzLWJlYmQtYTMxNmY3MmI3MGIyXkEyXkFqcGdeQXVyMzAxNTY5MzY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9364546,movie,N/A,N/A,N/A,N/A,True
Super Luigi Thunder: The First Epic Movie,2018,N/A,07 Jul 2018,54 min,Comedy,Super Luigi Thunder,Super Luigi Thunder,N/A,Ultron tries find all the crystal to rule every plush universe. So Luigi and Friends must stop Ultron while going to war in the process.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMWJhYWUwMTYtYTZiMy00NjlmLWE1NTUtMzAwZDhmYWZkMjk2XkEyXkFqcGdeQXVyOTMyNDA0NzE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10423600,movie,N/A,N/A,N/A,N/A,True
Super,2015,N/A,25 Apr 2015,5 min,"Short, Fantasy, Horror",Matt Inns,Matt Inns,"Nathan Kennedy, Maggie Watts","When a mysterious girl falls into the sights of a violent stalker, she is left with only one means of survival...",English,New Zealand,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,16,tt3572030,movie,N/A,N/A,N/A,N/A,True
Super Snoopers: The Strange Case of Dr. Heckle,2008,N/A,18 Oct 2008,29 min,Animation,Perry Harovas,Jon Nappa,Jon Nappa,"Mr. Poutndoubt is trying to mess things up for the townspeople of Wellsley again. This time he has sent Dr. Heckle, the dastardly dealer of pride to make the fine citizens of Wellsley boast...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1342956,movie,N/A,N/A,N/A,N/A,True
Bravo Super Show 2003,2003,N/A,22 Mar 2003,N/A,Music,Volker Weicker,N/A,"Atomic Kitten, Nadja Benaissa, Ben Bledsoe, Ludmila Diakovska",N/A,"English, German",Germany,N/A,N/A,[],N/A,N/A,N/A,tt0359027,movie,N/A,N/A,N/A,N/A,True
CBS' Super Bowl Uncensored,2001,N/A,27 Jan 2001,N/A,Sport,Craig H. Shepherd,"Chris Connelly, Craig Kilborn",Chris Connelly,N/A,N/A,USA,N/A,N/A,[],N/A,N/A,N/A,tt0278173,movie,N/A,N/A,N/A,N/A,True
ToeJam & Earl's Super Funky Telethon,2019,N/A,26 May 2019,240 min,"Comedy, Game-Show",Greg Johnson,N/A,"Denetra Blackshear, Jon Lee Brody, Leo Camacho, Alex Corea","Prepare for four hours of groovy nostalgia with prizes to be won, announcements to be made, games to be played, wacky surprises, and so much more funky stuff.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDA0YTQ0NTItZTE2Ni00NDdhLTliZTAtODRjYzZmNTIyYTQ0XkEyXkFqcGdeQXVyMzc1MDQyNTM@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10384930,movie,N/A,N/A,N/A,N/A,True
UEFA Super Cup 2019,2019,N/A,14 Aug 2019,90 min,Sport,N/A,N/A,"Liverpool F.C., Chelsea F.C., Fester Abdü, Tammy Abraham","The 2019 UEFA Super Cup will be the 44th edition of the UEFA Super Cup, an annual football match organized by UEFA and contested by the reigning champions of the two main European club ...","English, Turkish","UK, Turkey, USA",N/A,https://m.media-amazon.com/images/M/MV5BYTEzNTcwOGYtOGFlNi00YjFiLWE2MTctNTU4YWQzYjU3ZGQxXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,18,tt10636448,movie,N/A,N/A,N/A,N/A,True
Super Junior Feat. Leslie Grace & Play-N-Skillz: Lo Siento,2018,N/A,12 Apr 2018,5 min,"Short, Music",N/A,N/A,"Leslie Grace, Super Junior, Hee-chul Kim, Jong-woon Kim",N/A,"Spanish, Korean, English",South Korea,N/A,https://m.media-amazon.com/images/M/MV5BOWE1YWZiNTMtMTAyOS00ODk3LWI0YmUtOTgyZjRjNjJjNGZhXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9170210,movie,N/A,N/A,N/A,N/A,True
SUPER Horrifying Story 2,2017,N/A,12 Feb 2017,76 min,Horror,Seiji Chiba,Seiji Chiba,"Kyouka, Karin Ogino, Yûmi Shida, Akari Yamada",N/A,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMTZmOWQ0NzAtZjhhYy00YzgxLThlMzYtOTI1MTU5ZjM3MGMzXkEyXkFqcGdeQXVyMTk2MDc1MjQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9271848,movie,N/A,N/A,N/A,N/A,True
LPWA Super Ladies Showdown,1992,N/A,23 Feb 1992,N/A,Sport,N/A,N/A,"Reggie Bennett, Mizuki Endo, Susan Tex Green, Miki Handa",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0357847,movie,N/A,N/A,N/A,N/A,True
Super Speedway: The Making of...,1998,N/A,03 Aug 1998,N/A,"Documentary, Short","Patrick Gariup, James Porteous",Victoria Rose,"Stephen Low, Carl Haas, Mario Andretti, Michael Andretti",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,8,tt1186670,movie,N/A,N/A,N/A,N/A,True
Super Sam,2005,N/A,23 Oct 2005,N/A,"Short, Comedy",Brent Triplett,"Nate Panning, Brent Triplett","T. Hubble, Josh R. Lewis, Brandon Luck, Bryan Mahoney",A comic tale about a super hero in search of a new arch enemy of his very own.,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,11,tt0926153,movie,N/A,N/A,N/A,N/A,True
The Super Recogniser,2017,N/A,25 Nov 2017,11 min,"Short, Drama, Sci-Fi, Thriller",Jennifer Sheridan,Jennifer Sheridan,"Jacob Anderson, Ritu Arya, Gideon Heilpern, Robin Hill",Jacob (26) is a normal guy with a very special talent- 90% facial recollection. He never forgets a face and you better hope he doesn't knows yours.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMjE5MjdhZWMtZGJkMC00MzAxLTgzMDItNmVlZGM0NmQ5OTgxXkEyXkFqcGdeQXVyNDM5NTkwMDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,11,tt7143362,movie,N/A,N/A,N/A,N/A,True
The Super Fight: Marciano vs. Ali,2005,N/A,26 Dec 2005,60 min,"Documentary, Sport",Mike DeLisa,N/A,"Rocky Marciano, Muhammad Ali, Jimmy Braddock, Angelo Dundee",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,17,tt0481632,movie,N/A,N/A,N/A,N/A,True
The Wild Ride to Super Bowl I,2004,N/A,26 Jan 2004,N/A,"Documentary, Sport","Ray Didinger, Jeff Hillegass",N/A,"Lamar Hunt, Al Michaels, Liev Schreiber, Fred Williamson",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,7,tt0476421,movie,N/A,N/A,N/A,N/A,True
Super Phoenix,2007,N/A,29 Oct 2007,24 min,"Short, Comedy",Sylvie Rosenthal,Sylvie Rosenthal,"Patrick Baby, Marie-Ève Beauregard, Markita Boies, Raymond Bouchard","An absurd dramatic comedy about Phoenix Jones, an overly dedicated travel agent, 38, who suffers from a burnout after the downsizing of the travel agency where he works.",French,Canada,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,6,tt1153703,movie,N/A,N/A,N/A,N/A,True
Super Eruption,2011,PG-13,N/A,89 min,"Action, Adventure, Drama, Sci-Fi, Thriller",Matt Codd,Rafael Jordan (screenplay),"Richard Burgi, Juliet Aubrey, MyAnna Buring, Alex Wyndham","The super volcano under Yellowstone erupts after thousands of years, putting millions at risk, and it's up to Rangers Charlie Young and Kate to save the day.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI5NTczODM4Ml5BMl5BanBnXkFtZTcwMDQ0MDI1OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}]",N/A,3.7,633,tt1697075,movie,N/A,N/A,"MarVista Entertainment, Unified Film Organization (UFO)",N/A,True
Die Drei ??? und der Super-Papagei,2006,N/A,N/A,102 min,Comedy,Alexander Pahl,"André Minninger (teleplay), H.G. Francis (adaptation), Robert Arthur (book)","Thomas Fritsch, Oliver Rohrbeck, Jens Wawrczeck, Andreas Fröhlich",N/A,German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMTc4ODUzNzM3Nl5BMl5BanBnXkFtZTgwMjE0ODk0MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,15,tt1027676,movie,N/A,N/A,N/A,N/A,True
Super Spree,2011,N/A,N/A,16 min,"Short, Comedy, Drama",Matt Post,Matt Post,"Cynthia Aspra, Alex Gould, Salvatore Hodgson, Tyler Jakes","Billy, a supermarket errand boy, combats butchers, cashiers, and his lazy boss, in an undying effort to complete his workload. His positive attitude towards the job takes turn for the worse...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTM2OTQwMzIyMl5BMl5BanBnXkFtZTcwNzM1MjQ3Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,8,tt2056709,movie,N/A,N/A,N/A,N/A,True
Super Bowl XL Pre-Game Show,2006,N/A,05 Feb 2006,240 min,"Documentary, Sport",Michael Feinberg,N/A,"Shaun Alexander, Bill Belichick, Chris Berman, Jerome Bettis",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,15,tt0768143,movie,N/A,N/A,N/A,N/A,True
Super Islaw and the Flying Kids,1986,N/A,17 Jul 1986,N/A,"Comedy, Fantasy",J. Erastheo Navoa,"Jose N. Carreon (screenplay), J. Erastheo Navoa (story)","Richard Gomez, Janice de Belen, Nadia Montenegro, Tina Paner","Super Islaw was a young crippled boy who was granted mystical powers because of his good heart. He used these abilities to protect the innocents of his town, battling supernatural beings such as vampires.","Filipino, Tagalog",Philippines,N/A,https://m.media-amazon.com/images/M/MV5BMjFhMTExM2EtMDBkYy00MjM4LWI5NzktYTVmOWNkNDFiMWZjXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,8,tt1425628,movie,N/A,N/A,N/A,N/A,True
The Super List,2011,N/A,N/A,13 min,"Short, Comedy",Adam Winston,Adam Winston,"Derek Potosky, Sarah Winston, Ryan Segal, Jacob Nielsen","A thoughtful comedy about a young boy, a comic-book nerd, and his on-going struggle with neighborhood bullies. When he tests himself for super-power abilities what he discovers exceeds everyone's expectations - including his own.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,15,tt2109234,movie,N/A,N/A,N/A,N/A,True
Jessie's Super Normal Regular Average Day,2019,N/A,30 Aug 2019,79 min,Comedy,Brian K. Williams,Brian K. Williams,"Jett Bryant, Ellie Church, Allison Maier, Cory 'Grinder' Poucher","All Jessie wanted was to sleep in on her day off, but there's a whole Hell of a lot going on that's keeping her from doing that.",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BNjU0ZWEyMDEtNDFjYi00MDFmLWIzNjItZTU5YjExNzY1Y2Q4XkEyXkFqcGdeQXVyNjU1NDYyNDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,16,tt10621020,movie,N/A,N/A,N/A,N/A,True
Súper Niño Bully,2007,N/A,29 Jun 2007,N/A,"Short, Comedy",Nicolás López,"Fabrizio Copano, Nicolás López","Fabrizio Copano, Ariel Levy, Boris Quercia, Jenny Cavallo",N/A,Spanish,Chile,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,9,tt1974374,movie,N/A,N/A,N/A,N/A,True
Real Estate Super Man,2007,N/A,24 Mar 2007,11 min,"Short, Comedy",Eric A. Lee,"Jon Feldschau (story), Lewis Hill (story), Eric A. Lee (screenplay), Eric A. Lee (story), Susu Keepman Lee (story)","Steve Neumann, Darcie Hill, Zac Kintner, Sabrina Bruce",A bumbling Realtor headed for failure encounters an unexpected aquatic messenger.,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,8,tt0985662,movie,N/A,N/A,N/A,N/A,True
The Super He-Man,1960,N/A,N/A,70 min,"Comedy, Fantasy, Sci-Fi",Alejandro Galindo,"Pancho Córdova (adaptation), Rafael García Travesi (story), Raúl de Anda (adaptation)","Sonia Furió, Manuel 'Loco' Valdés, Tere Velázquez, Óscar Pulido",N/A,Spanish,Mexico,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,6,tt0052259,movie,N/A,N/A,N/A,N/A,True
The Making of 'Super Mario Brothers',1997,N/A,06 Apr 1997,25 min,"Documentary, Short",Deborah Attoinese,N/A,"Mark Elliott, Bob Hoskins, Roland Joffé, Jake Eberts",A long form documentary about the creative process of turning a popular video game into a feature length film.,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,8,tt1522770,movie,N/A,N/A,N/A,N/A,True
